130 , 8   , 32  , 0   , 0   , 0   , 0   , 
134 , 40  , 98  , 0   , 0   , 0   , 0   , 
138 , 88  , 165 , 0   , 0   , 0   , 0   , 
142 , 120 , 231 , 0   , 0   , 0   , 0   , 
146 , 153 , 41  , 0   , 0   , 0   , 0   , 
150 , 201 , 108 , 0   , 0   , 0   , 0   , 
154 , 233 , 174 , 0   , 0   , 0   , 0   , 
159 , 9   , 240 , 0   , 0   , 0   , 0   , 
163 , 42  , 50  , 0   , 0   , 0   , 0   , 
167 , 90  , 117 , 0   , 0   , 0   , 0   , 
171 , 122 , 183 , 0   , 0   , 0   , 0   , 
175 , 154 , 249 , 0   , 0   , 0   , 0   , 
179 , 187 , 59  , 0   , 0   , 0   , 0   , 
183 , 235 , 126 , 0   , 0   , 0   , 0   , 
188 , 11  , 192 , 0   , 0   , 0   , 0   , 
192 , 44  , 2   , 0   , 0   , 0   , 0   , 
196 , 92  , 69  , 0   , 0   , 0   , 0   , 
200 , 124 , 135 , 0   , 0   , 0   , 0   , 
204 , 156 , 201 , 0   , 0   , 0   , 0   , 
208 , 189 , 11  , 0   , 0   , 0   , 0   , 
212 , 237 , 78  , 0   , 0   , 0   , 0   , 
217 , 13  , 144 , 0   , 0   , 0   , 0   , 
221 , 45  , 210 , 0   , 0   , 0   , 0   , 
225 , 94  , 21  , 0   , 0   , 0   , 0   , 
229 , 126 , 87  , 0   , 0   , 0   , 0   , 
233 , 158 , 153 , 0   , 0   , 0   , 0   , 
237 , 190 , 219 , 0   , 0   , 0   , 0   , 
241 , 239 , 30  , 0   , 0   , 0   , 0   , 
246 , 15  , 96  , 0   , 0   , 0   , 0   , 
250 , 47  , 162 , 0   , 0   , 0   , 0   , 
254 , 79  , 228 , 0   , 0   , 0   , 0   , 
254 , 255 , 239 , 0   , 0   , 0   , 0   , 
254 , 255 , 239 , 255 , 255 , 255 , 255 , 
254 , 255 , 239 , 255 , 255 , 255 , 255 , 
254 , 255 , 239 , 255 , 255 , 255 , 255 , 
254 , 255 , 239 , 255 , 255 , 255 , 255 , 
253 , 15  , 239 , 255 , 255 , 255 , 255 , 
251 , 15  , 239 , 255 , 255 , 255 , 255 , 
249 , 15  , 239 , 255 , 255 , 255 , 255 , 
248 , 255 , 239 , 255 , 255 , 255 , 255 , 
246 , 15  , 239 , 255 , 255 , 255 , 255 , 
243 , 31  , 239 , 255 , 255 , 255 , 255 , 
242 , 239 , 239 , 255 , 255 , 255 , 255 , 
239 , 255 , 239 , 255 , 255 , 255 , 255 , 
237 , 15  , 239 , 255 , 255 , 255 , 255 , 
236 , 223 , 239 , 255 , 255 , 255 , 255 , 
233 , 239 , 239 , 255 , 255 , 255 , 255 , 
230 , 255 , 239 , 255 , 255 , 255 , 255 , 
230 , 207 , 239 , 255 , 255 , 255 , 255 , 
227 , 223 , 239 , 255 , 255 , 255 , 255 , 
224 , 239 , 239 , 255 , 255 , 255 , 255 , 
224 , 191 , 239 , 255 , 255 , 255 , 255 , 
221 , 207 , 239 , 255 , 255 , 255 , 255 , 
218 , 239 , 239 , 255 , 255 , 255 , 255 , 
218 , 191 , 239 , 255 , 255 , 255 , 255 , 
215 , 207 , 239 , 255 , 255 , 255 , 255 , 
212 , 223 , 239 , 255 , 255 , 255 , 255 , 
212 , 175 , 239 , 255 , 255 , 255 , 255 , 
209 , 191 , 239 , 255 , 255 , 255 , 255 , 
206 , 207 , 239 , 255 , 255 , 255 , 255 , 
206 , 159 , 239 , 255 , 255 , 255 , 255 , 
203 , 175 , 239 , 255 , 255 , 255 , 255 , 
200 , 191 , 239 , 255 , 255 , 255 , 255 , 
200 , 143 , 239 , 255 , 255 , 255 , 255 , 
